user_id,signup_date,churn_date,plan_type,primary_scenario,is_paid,monthly_spend,lifetime_months,total_revenue,is_churned,sessions_per_month,avg_session_depth
user_00000,2024-02-21,2024-04-21,enterprise,data_analysis,True,75,2,150,True,7,3.0
user_00001,2024-03-16,2024-06-01,pro,coding,True,20,5,100,False,9,3.2
user_00002,2024-01-14,2024-05-13,pro,writing,True,20,4,80,True,8,6.6
user_00003,2024-03-27,2024-06-01,free,general_qa,False,0,8,0,False,3,4.8
user_00004,2024-01-08,2024-06-01,free,general_qa,False,0,5,0,False,6,8.4
user_00005,2024-02-04,2024-06-01,free,coding,False,0,7,0,False,3,2.5
user_00006,2024-02-21,2024-05-21,free,data_analysis,False,0,3,0,True,8,1.8
user_00007,2024-03-02,2024-06-01,free,general_qa,False,0,6,0,False,3,3.8
user_00008,2024-02-06,2024-04-06,pro,writing,True,20,2,40,True,4,6.9
user_00009,2024-02-25,2024-06-01,free,data_analysis,False,0,5,0,False,9,2.3
user_00010,2024-03-10,2024-06-01,free,general_qa,False,0,7,0,False,7,5.7
user_00011,2024-02-19,2024-06-01,enterprise,general_qa,True,50,9,450,False,9,7.3
user_00012,2024-03-24,2024-06-01,free,writing,False,0,8,0,False,7,6.3
user_00013,2024-01-22,2024-06-01,free,general_qa,False,0,5,0,False,6,20.1
user_00014,2024-01-17,2024-06-01,enterprise,writing,True,50,8,400,False,6,2.2
user_00015,2024-01-02,2024-04-01,free,general_qa,False,0,3,0,True,5,9.4
user_00016,2024-02-05,2024-06-01,pro,data_analysis,True,25,6,150,False,6,2.5
user_00017,2024-02-22,2024-06-01,free,general_qa,False,0,6,0,False,6,3.5
user_00018,2024-03-30,2024-06-01,free,general_qa,False,0,5,0,False,11,8.8
user_00019,2024-03-18,2024-06-01,free,coding,False,0,3,0,False,7,2.8
user_00020,2024-02-03,2024-06-01,free,coding,False,0,12,0,False,9,3.4
user_00021,2024-03-27,2024-06-01,free,writing,False,0,4,0,False,12,4.1
user_00022,2024-01-24,2024-06-01,pro,data_analysis,True,20,7,140,False,3,5.5
user_00023,2024-02-21,2024-06-01,free,data_analysis,False,0,8,0,False,6,4.0
user_00024,2024-03-16,2024-06-01,pro,general_qa,True,30,7,210,False,10,9.8
user_00025,2024-01-19,2024-03-19,free,writing,False,0,2,0,True,6,2.5
user_00026,2024-03-03,2024-06-01,free,coding,False,0,7,0,False,6,2.8
user_00027,2024-02-23,2024-06-01,free,general_qa,False,0,4,0,False,6,2.4
user_00028,2024-02-10,2024-04-10,free,writing,False,0,2,0,True,5,4.0
user_00029,2024-01-25,2024-03-25,free,general_qa,False,0,2,0,True,11,6.3
user_00030,2024-01-01,2024-06-01,free,coding,False,0,9,0,False,7,3.7
user_00031,2024-03-05,2024-06-01,free,data_analysis,False,0,3,0,False,7,7.9
user_00032,2024-02-20,2024-06-01,enterprise,writing,True,75,9,675,False,7,1.5
user_00033,2024-02-24,2024-06-01,free,writing,False,0,10,0,False,4,5.8
user_00034,2024-03-30,2024-06-01,pro,coding,True,25,5,125,False,7,1.8
user_00035,2024-01-26,2024-06-01,free,writing,False,0,7,0,False,4,9.3
user_00036,2024-03-26,2024-06-01,free,coding,False,0,9,0,False,6,1.9
user_00037,2024-03-10,2024-06-01,free,writing,False,0,5,0,False,6,6.0
user_00038,2024-03-19,2024-06-01,pro,writing,True,20,8,160,False,6,2.2
user_00039,2024-01-03,2024-02-02,free,writing,False,0,1,0,True,10,5.1
user_00040,2024-02-18,2024-06-01,pro,data_analysis,True,20,6,120,False,11,11.0
user_00041,2024-01-14,2024-06-01,pro,data_analysis,True,25,6,150,False,7,6.9
user_00042,2024-02-02,2024-06-01,free,general_qa,False,0,5,0,False,9,8.9
user_00043,2024-02-16,2024-06-01,free,general_qa,False,0,5,0,False,7,3.3
user_00044,2024-03-02,2024-06-01,free,writing,False,0,5,0,False,6,3.0
user_00045,2024-03-27,2024-06-01,enterprise,general_qa,True,75,5,375,False,8,3.2
user_00046,2024-02-12,2024-04-12,free,general_qa,False,0,2,0,True,5,2.9
user_00047,2024-03-21,2024-06-01,enterprise,coding,True,75,4,300,False,6,2.9
user_00048,2024-01-30,2024-06-01,pro,data_analysis,True,20,7,140,False,7,3.7
user_00049,2024-03-07,2024-04-06,free,data_analysis,False,0,1,0,True,6,7.7
user_00050,2024-03-18,2024-06-01,pro,general_qa,True,30,4,120,False,11,3.3
user_00051,2024-01-20,2024-06-01,pro,writing,True,25,10,250,False,6,8.0
user_00052,2024-01-04,2024-06-01,free,general_qa,False,0,8,0,False,5,7.3
user_00053,2024-02-22,2024-06-01,free,general_qa,False,0,4,0,False,6,2.5
user_00054,2024-02-05,2024-06-01,pro,writing,True,25,6,150,False,6,3.5
user_00055,2024-01-17,2024-05-16,free,data_analysis,False,0,4,0,True,3,5.0
user_00056,2024-02-13,2024-06-01,pro,general_qa,True,25,12,300,False,7,2.8
user_00057,2024-02-17,2024-06-01,free,writing,False,0,7,0,False,10,3.5
user_00058,2024-01-13,2024-02-12,pro,general_qa,True,25,1,25,True,7,3.2
user_00059,2024-02-26,2024-03-27,free,writing,False,0,1,0,True,5,9.5
user_00060,2024-01-30,2024-03-30,pro,data_analysis,True,25,2,50,True,4,6.0
user_00061,2024-03-03,2024-06-01,enterprise,writing,True,75,5,375,False,5,1.7
user_00062,2024-01-03,2024-05-02,pro,general_qa,True,25,4,100,True,9,1.2
user_00063,2024-01-29,2024-06-01,pro,general_qa,True,30,6,180,False,5,2.5
user_00064,2024-03-09,2024-06-01,enterprise,coding,True,100,10,1000,False,6,2.5
user_00065,2024-02-14,2024-05-14,pro,coding,True,30,3,90,True,5,6.1
user_00066,2024-02-15,2024-04-15,free,data_analysis,False,0,2,0,True,5,8.4
user_00067,2024-03-19,2024-06-01,enterprise,coding,True,100,4,400,False,5,3.8
user_00068,2024-03-04,2024-06-01,pro,writing,True,25,6,150,False,2,4.1
user_00069,2024-01-13,2024-05-12,pro,writing,True,30,4,120,True,10,2.1
user_00070,2024-02-27,2024-06-01,pro,coding,True,20,4,80,False,10,8.7
user_00071,2024-03-18,2024-05-17,free,data_analysis,False,0,2,0,True,8,5.8
user_00072,2024-03-04,2024-06-01,free,general_qa,False,0,9,0,False,4,8.4
user_00073,2024-01-02,2024-04-01,free,general_qa,False,0,3,0,True,6,2.9
user_00074,2024-03-15,2024-06-01,free,general_qa,False,0,12,0,False,3,10.9
user_00075,2024-01-12,2024-04-11,free,general_qa,False,0,3,0,True,11,3.3
user_00076,2024-02-23,2024-06-01,free,writing,False,0,8,0,False,11,9.8
user_00077,2024-01-26,2024-05-25,pro,general_qa,True,20,4,80,True,8,9.3
user_00078,2024-01-28,2024-03-28,free,data_analysis,False,0,2,0,True,6,5.0
user_00079,2024-01-20,2024-04-19,free,general_qa,False,0,3,0,True,10,2.1
user_00080,2024-02-28,2024-06-01,free,writing,False,0,4,0,False,9,6.2
user_00081,2024-02-14,2024-06-01,free,general_qa,False,0,5,0,False,7,6.4
user_00082,2024-03-16,2024-06-01,free,general_qa,False,0,9,0,False,7,3.2
user_00083,2024-01-04,2024-06-01,pro,general_qa,True,25,5,125,False,7,2.9
user_00084,2024-03-30,2024-06-01,free,coding,False,0,9,0,False,9,2.0
user_00085,2024-03-20,2024-06-01,pro,general_qa,True,20,4,80,False,7,7.3
user_00086,2024-02-18,2024-05-18,enterprise,general_qa,True,75,3,225,True,7,1.7
user_00087,2024-02-13,2024-06-01,free,data_analysis,False,0,10,0,False,8,2.6
user_00088,2024-02-16,2024-06-01,free,general_qa,False,0,5,0,False,5,13.5
user_00089,2024-03-04,2024-06-01,free,data_analysis,False,0,7,0,False,5,2.2
user_00090,2024-03-08,2024-06-01,free,general_qa,False,0,6,0,False,4,2.8
user_00091,2024-03-21,2024-06-01,enterprise,writing,True,50,7,350,False,3,1.2
user_00092,2024-01-05,2024-06-01,pro,general_qa,True,20,7,140,False,4,3.2
user_00093,2024-03-25,2024-06-01,free,coding,False,0,10,0,False,8,6.1
user_00094,2024-02-04,2024-06-01,free,data_analysis,False,0,4,0,False,9,3.2
user_00095,2024-01-08,2024-02-07,free,writing,False,0,1,0,True,9,4.5
user_00096,2024-01-31,2024-05-30,free,general_qa,False,0,4,0,True,5,3.8
user_00097,2024-01-07,2024-06-01,pro,coding,True,25,9,225,False,8,3.1
user_00098,2024-03-19,2024-06-01,free,data_analysis,False,0,4,0,False,4,1.1
user_00099,2024-02-29,2024-03-30,pro,writing,True,20,1,20,True,10,5.1
user_00100,2024-01-02,2024-06-01,free,writing,False,0,8,0,False,4,2.8
user_00101,2024-03-05,2024-06-01,free,coding,False,0,4,0,False,5,2.3
user_00102,2024-01-08,2024-06-01,free,coding,False,0,5,0,False,7,1.5
user_00103,2024-01-10,2024-06-01,pro,writing,True,30,8,240,False,8,4.9
user_00104,2024-02-01,2024-05-01,free,general_qa,False,0,3,0,True,6,3.9
user_00105,2024-01-22,2024-02-21,enterprise,general_qa,True,50,1,50,True,10,6.0
user_00106,2024-02-08,2024-06-01,free,general_qa,False,0,8,0,False,10,1.5
user_00107,2024-02-27,2024-05-27,free,data_analysis,False,0,3,0,True,7,6.1
user_00108,2024-02-06,2024-04-06,pro,coding,True,20,2,40,True,7,5.3
user_00109,2024-01-04,2024-06-01,free,writing,False,0,5,0,False,9,2.5
user_00110,2024-02-16,2024-06-01,enterprise,general_qa,True,75,9,675,False,4,6.8
user_00111,2024-03-10,2024-06-01,free,writing,False,0,9,0,False,8,2.4
user_00112,2024-01-24,2024-02-23,free,coding,False,0,1,0,True,4,5.2
user_00113,2024-01-10,2024-05-09,free,general_qa,False,0,4,0,True,5,1.5
user_00114,2024-03-22,2024-06-01,pro,writing,True,20,9,180,False,7,2.3
user_00115,2024-03-11,2024-06-01,pro,writing,True,30,4,120,False,7,3.8
user_00116,2024-02-20,2024-06-01,pro,writing,True,20,6,120,False,6,4.0
user_00117,2024-03-26,2024-06-01,free,writing,False,0,7,0,False,7,1.9
user_00118,2024-01-08,2024-06-01,free,general_qa,False,0,10,0,False,7,3.7
user_00119,2024-02-17,2024-06-01,free,writing,False,0,10,0,False,5,8.4
user_00120,2024-02-03,2024-06-01,free,writing,False,0,9,0,False,7,16.5
user_00121,2024-02-02,2024-06-01,free,coding,False,0,5,0,False,9,3.4
user_00122,2024-03-27,2024-06-01,free,writing,False,0,5,0,False,8,5.9
user_00123,2024-01-23,2024-03-23,free,writing,False,0,2,0,True,6,3.4
user_00124,2024-01-22,2024-06-01,pro,writing,True,30,7,210,False,6,4.2
user_00125,2024-03-04,2024-06-01,free,writing,False,0,5,0,False,11,7.1
user_00126,2024-01-21,2024-06-01,free,general_qa,False,0,8,0,False,9,2.9
user_00127,2024-01-20,2024-05-19,pro,data_analysis,True,25,4,100,True,8,4.6
user_00128,2024-03-23,2024-05-22,free,general_qa,False,0,2,0,True,6,3.3
user_00129,2024-03-02,2024-06-01,pro,general_qa,True,20,4,80,False,9,3.6
user_00130,2024-02-15,2024-06-01,free,writing,False,0,10,0,False,6,4.6
user_00131,2024-02-02,2024-05-02,free,writing,False,0,3,0,True,7,4.1
user_00132,2024-03-13,2024-05-12,pro,general_qa,True,25,2,50,True,4,4.4
user_00133,2024-02-04,2024-06-01,free,coding,False,0,4,0,False,7,8.1
user_00134,2024-02-01,2024-06-01,pro,general_qa,True,30,8,240,False,6,4.7
user_00135,2024-02-29,2024-05-29,free,coding,False,0,3,0,True,8,4.4
user_00136,2024-01-26,2024-03-26,free,coding,False,0,2,0,True,8,5.5
user_00137,2024-03-08,2024-06-01,enterprise,writing,True,50,6,300,False,6,5.9
user_00138,2024-03-25,2024-06-01,free,writing,False,0,7,0,False,9,7.0
user_00139,2024-01-17,2024-06-01,pro,general_qa,True,20,6,120,False,5,2.5
user_00140,2024-03-10,2024-06-01,free,writing,False,0,3,0,False,12,4.4
user_00141,2024-02-14,2024-06-01,free,general_qa,False,0,7,0,False,7,8.3
user_00142,2024-02-25,2024-06-01,free,general_qa,False,0,4,0,False,5,3.1
user_00143,2024-01-08,2024-05-07,pro,data_analysis,True,25,4,100,True,5,4.6
user_00144,2024-02-03,2024-06-01,free,coding,False,0,6,0,False,8,4.0
user_00145,2024-02-22,2024-04-22,pro,writing,True,20,2,40,True,10,1.7
user_00146,2024-03-19,2024-06-01,free,writing,False,0,3,0,False,5,3.8
user_00147,2024-03-19,2024-06-01,free,coding,False,0,10,0,False,9,4.8
user_00148,2024-03-27,2024-06-01,free,writing,False,0,3,0,False,10,5.7
user_00149,2024-02-11,2024-05-11,free,writing,False,0,3,0,True,4,3.6
user_00150,2024-01-31,2024-06-01,pro,writing,True,30,7,210,False,8,5.3
user_00151,2024-01-13,2024-05-12,free,coding,False,0,4,0,True,3,3.8
user_00152,2024-01-17,2024-06-01,enterprise,writing,True,75,5,375,False,6,2.4
user_00153,2024-02-03,2024-05-03,free,writing,False,0,3,0,True,12,3.3
user_00154,2024-01-29,2024-06-01,free,coding,False,0,10,0,False,5,3.4
user_00155,2024-01-10,2024-06-01,free,writing,False,0,10,0,False,7,1.6
user_00156,2024-03-01,2024-06-01,enterprise,general_qa,True,75,10,750,False,8,2.8
user_00157,2024-02-28,2024-06-01,enterprise,data_analysis,True,50,10,500,False,8,2.4
user_00158,2024-03-26,2024-06-01,pro,data_analysis,True,30,6,180,False,8,5.7
user_00159,2024-02-23,2024-06-01,free,general_qa,False,0,8,0,False,8,4.4
user_00160,2024-01-05,2024-06-01,free,coding,False,0,9,0,False,11,2.4
user_00161,2024-02-15,2024-06-01,free,coding,False,0,5,0,False,9,3.2
user_00162,2024-03-02,2024-05-31,free,data_analysis,False,0,3,0,True,3,4.1
user_00163,2024-02-20,2024-06-01,free,coding,False,0,5,0,False,6,1.9
user_00164,2024-02-23,2024-05-23,free,data_analysis,False,0,3,0,True,6,3.3
user_00165,2024-02-21,2024-06-01,pro,coding,True,25,6,150,False,5,3.4
user_00166,2024-02-10,2024-06-01,free,writing,False,0,7,0,False,7,7.4
user_00167,2024-03-18,2024-06-01,pro,general_qa,True,20,5,100,False,9,2.2
user_00168,2024-02-26,2024-06-01,pro,writing,True,25,5,125,False,7,2.3
user_00169,2024-03-18,2024-06-01,pro,coding,True,20,3,60,False,7,6.4
user_00170,2024-01-20,2024-06-01,free,writing,False,0,6,0,False,8,6.3
user_00171,2024-03-29,2024-06-01,pro,data_analysis,True,25,5,125,False,7,2.5
user_00172,2024-03-13,2024-06-01,pro,data_analysis,True,20,4,80,False,9,9.7
user_00173,2024-02-14,2024-06-01,free,writing,False,0,8,0,False,7,10.8
user_00174,2024-01-17,2024-06-01,free,data_analysis,False,0,6,0,False,3,3.2
user_00175,2024-02-03,2024-06-01,free,writing,False,0,10,0,False,7,4.7
user_00176,2024-02-29,2024-06-01,free,general_qa,False,0,10,0,False,5,6.7
user_00177,2024-01-07,2024-06-01,free,writing,False,0,6,0,False,4,6.8
user_00178,2024-03-24,2024-06-01,free,general_qa,False,0,4,0,False,8,5.3
user_00179,2024-02-18,2024-06-01,free,general_qa,False,0,5,0,False,11,2.3
user_00180,2024-01-17,2024-06-01,pro,general_qa,True,25,7,175,False,6,6.6
user_00181,2024-02-16,2024-06-01,free,coding,False,0,5,0,False,9,2.3
user_00182,2024-03-04,2024-06-01,enterprise,writing,True,100,12,1200,False,10,4.6
user_00183,2024-03-11,2024-06-01,free,coding,False,0,7,0,False,7,3.0
user_00184,2024-02-14,2024-04-14,enterprise,coding,True,100,2,200,True,7,4.9
user_00185,2024-01-30,2024-05-29,free,data_analysis,False,0,4,0,True,9,7.9
user_00186,2024-03-11,2024-06-01,pro,writing,True,20,3,60,False,10,10.0
user_00187,2024-02-28,2024-06-01,pro,general_qa,True,25,8,200,False,9,7.8
user_00188,2024-02-22,2024-03-23,pro,general_qa,True,25,1,25,True,5,5.8
user_00189,2024-03-10,2024-06-01,free,general_qa,False,0,10,0,False,11,15.5
user_00190,2024-01-13,2024-05-12,free,coding,False,0,4,0,True,3,2.1
user_00191,2024-02-18,2024-06-01,pro,coding,True,30,11,330,False,13,4.2
user_00192,2024-02-24,2024-06-01,pro,coding,True,30,4,120,False,7,2.9
user_00193,2024-03-21,2024-06-01,pro,coding,True,20,11,220,False,6,4.1
user_00194,2024-03-24,2024-06-01,pro,general_qa,True,25,4,100,False,6,3.3
user_00195,2024-02-26,2024-04-26,free,general_qa,False,0,2,0,True,8,2.9
user_00196,2024-03-28,2024-06-01,free,coding,False,0,5,0,False,6,2.8
user_00197,2024-02-18,2024-06-01,free,writing,False,0,6,0,False,6,10.0
user_00198,2024-01-24,2024-04-23,pro,writing,True,20,3,60,True,6,4.0
user_00199,2024-02-09,2024-06-01,pro,coding,True,20,4,80,False,8,3.6
user_00200,2024-02-28,2024-06-01,pro,coding,True,20,7,140,False,6,5.0
user_00201,2024-01-28,2024-06-01,free,writing,False,0,11,0,False,5,15.7
user_00202,2024-01-04,2024-06-01,free,general_qa,False,0,6,0,False,5,14.3
user_00203,2024-03-30,2024-06-01,pro,data_analysis,True,20,12,240,False,7,1.8
user_00204,2024-01-09,2024-05-08,pro,coding,True,20,4,80,True,7,6.9
user_00205,2024-02-12,2024-06-01,pro,coding,True,25,8,200,False,6,8.5
user_00206,2024-02-25,2024-06-01,free,general_qa,False,0,6,0,False,8,10.9
